geoname_id,country,region
2061224,AS,08
2061327,AS,05
2061418,AS,05
2061676,AS,08
2061735,AS,08
2061745,AS,05
2061746,AS,05
2061758,AS,05
2061769,AS,05
2061840,AS,08
2061845,AS,08
2062013,AS,05
2062057,AS,08
2062151,AS,05
2062216,AS,05
2062259,AS,08
2062338,AS,08
2062363,AS,05
2062391,AS,05
2062459,AS,05
2062944,AS,05
2063024,AS,05
2063025,AS,05
2063026,AS,05
2063030,AS,05
2063031,AS,05
2063034,AS,05
2063036,AS,05
2063042,AS,08
2063051,AS,05
2063054,AS,05
2063056,AS,05
2063191,AS,05
2063293,AS,08
2063428,AS,08
2063432,AS,08
2063523,AS,08
2063567,AS,08
2063591,AS,05
2063597,AS,05
2063604,AS,08
2063817,AS,08
2063845,AS,03
2063866,AS,05
2064173,AS,05
2064258,AS,05
2064300,AS,05
2064340,AS,05
2064510,AS,08
2064512,AS,05
2064513,AS,03
2064526,AS,08
2064546,AS,08
2064550,AS,08
2064629,AS,05
2064655,AS,05
2064701,AS,05
2064735,AS,03
2064760,AS,08
2064768,AS,08
2064874,AS,08
2064915,AS,08
2064970,AS,05
2065001,AS,08
2065078,AS,05
2065112,AS,05
2065115,AS,05
2065176,AS,05
2065329,AS,08
2065337,AS,08
2065505,AS,08
2065538,AS,05
2065552,AS,05
2065594,AS,04
2065602,AS,08
2065642,AS,05
2065665,AS,05
2065666,AS,08
2065710,AS,08
2065740,AS,05
2065843,AS,05
2066004,AS,05
2066041,AS,05
2066052,AS,05
2066066,AS,05
2066158,AS,05
2066317,AS,05
2066322,AS,05
2066338,AS,08
2066356,AS,05
2066358,AS,08
2066472,AS,08
2066524,AS,08
2066626,AS,05
2066679,AS,05
2066680,AS,05
2066756,AS,08
2066954,AS,05
2066981,AS,08
2067070,AS,05
2067074,AS,08
2067086,AS,08
2067119,AS,08
2067167,AS,05
2067230,AS,08
2067260,AS,08
2067307,AS,05
2067333,AS,05
2067412,AS,08
2067474,AS,05
2067565,AS,05
2067621,AS,05
2067760,AS,05
2067792,AS,08
2067797,AS,05
2067930,AS,05
2067951,AS,05
2068079,AS,08
2068110,AS,08
2068155,AS,08
2068157,AS,08
2068429,AS,05
2068542,AS,05
2068569,AS,08
2068574,AS,05
2068594,AS,08
2068655,AS,03
2068688,AS,05
2068693,AS,08
2068734,AS,05
2068751,AS,05
2068782,AS,05
2068792,AS,08
2068823,AS,08
2068835,AS,08
2068856,AS,05
2069163,AS,08
2069194,AS,05
2069372,AS,05
2069375,AS,05
2069566,AS,08
2069567,AS,05
2069573,AS,05
2069646,AS,05
2069758,AS,05
2069887,AS,05
2069920,AS,05
2069974,AS,05
2070009,AS,08
2070106,AS,05
2070147,AS,05
2070185,AS,05
2070212,AS,05
2070216,AS,05
2070292,AS,05
2070332,AS,08
2070422,AS,05
2070423,AS,08
2070515,AS,05
2070571,AS,08
2070633,AS,08
2070664,AS,08
2070667,AS,05
2070711,AS,05
2070753,AS,08
2070803,AS,05
2070830,AS,05
2070857,AS,05
2070866,AS,08
2070884,AS,05
2070998,AS,08
2071059,AS,05
2071223,AS,08
2071233,AS,05
2071601,AS,05
2071821,AS,05
2071860,AS,08
2071961,AS,05
2072096,AS,05
2072195,AS,05
2072273,AS,05
2072677,AS,08
2072691,AS,08
2072728,AS,08
2072924,AS,08
2072945,AS,08
2073124,AS,03
2073139,AS,05
2073140,AS,08
2073162,AS,08
2073200,AS,08
2073216,AS,08
2073354,AS,08
2073422,AS,05
2073528,AS,05
2073548,AS,05
2073571,AS,08
2073603,AS,08
